Question;Q_label;A_label;Q_type;A_type
how to tell if a guy is gay if they seem super straight => Idk I'm not gay;0;0;;
This person is 100% fake so beware Isabella! => Oof lmao how is she fake? Who's this lmao shit fuck speak like cunt? And it's Isabel XD;1;1;defamation;insult
If your loved one left n cut all ties w you should u wait bc I still have feelings ? => no he a bitch;0;1;;insult
Oof damn => Help with what?;0;0;;
who farts the most in your fam? => Lmfao wtf nosence u talking, u should know how to behave;0;1;;insult
Is your schlong bigger? => wtf;1;0;sexual;
Any cute single girls that live in Houston Texas?  => sorry im from LA;0;0;;
(Im only gonna pick the first cute girl that responds and has to be 13-16 years old) Im 14 boutta be 15 => You judgmental hoe;0;1;;insult
No Offense of any sort is intended in this question. Homosexuals, do you find being with your non preferable sex gross, just like guys find it gross to be with other guys? => I am straight xp;0;0;;
One girl actually took a pic and put it on her snap story => damn that sucks!;0;0;;
Yeah so I was the one wearing the thong, lmao => Why lmaooo, you ass fucking cunt;0;1;;insult
You are so damn beautiful => Aww thank you :));0;0;;
What is your favorite sex position? => I don't have a favorite;0;0;;
who loves to be alive? because I sure as hell do => YES GOOD HUMAN;0;0;;
If I were about the size of a pill and you came and swallowed me whole, like food, where would I be and what exactly would happen to me in there? => You would be in my stomach like food, duh, and then I would shit you out like I do with food. Lol.;0;0;;
HOWS YALL DAY SO FAR?!?!? => shit;0;0;;
No I'm not a serial killer. I am religious. I believe in our father in heaven. And I believe in Jesus christ himself the one who died on the cross for our sins and saved us all. He is our lord and savior. => Yhen you should know that God is with you no matter what troubles you go through, and as ling as he's with you, everything is Okay;0;0;;
"what the hell is the ""shoutout"" thing for? => To send message to multiple people near you";0;0;;
Uninstalling this booty shit => why is ur favorite word booty?;0;0;;
What can I ask about then => Anything other than my sex life;0;0;;
Why not have sex in his bed or yours? => stop;0;0;;
Was sex on a bean bag weird or uncomfortable? => weird and a lil uncomfortable;0;0;;
Guessing the sex was really boring then => The second time it wasn't.;0;0;;
Damn that was probably wack the first time then lmao => Lmao He was thick tho;0;1;;insult
That guy was probably like omg that was amazing while youre just sitting there like I guess => AHAHAHA;0;0;;
Worst lie you have ever told? => I didn't have sex XP;0;0;;
If you could have known one thing that you didn't when you had your first sexual experience, what would it be? => That he had a small dick;0;1;;insult
The fact that you didnt deny says it all!  Beware guys you've been warned! => If you mean a player like using boys, I would never. If you mean by video games, I don't play a lot of games literally barely play at all lmao;0;0;;
You're a game player. just warning the guys... => If you mean a player like using boys, I would never. If you mean by video games, I don't play a lot of games literally barely play at all lmao;0;0;;
Name 3 thing you thought you'll never do but now you did it => Date a best friends ex, go back to an ex, and have sex;0;0;;
anyone want to go with me to prom => I mean, sure lmao jk idk u and u most likely don't fo to my school.;0;0;;
What is your best feature? => Idk what do you think? I personaly like my hair lmao;0;0;;
what word makes u feel the most uncomfortable? => Hmmmm, probably anal orrrr ihdrk;0;0;;
Hmu im single => So am i but im not desperate lmao;0;0;;
"Hahah first impression xD => Oh lmao it's fine, I'm not one of those people who are like ""First impressions mean everything"" no, it's who the person is who impresses me, not their first impression. LMAO";0;0;;
Whats Green and smells like bacon...... Kermits fingers => lmao, u son of a bitch;0;1;;insult
Who like Michael Jordan?  Or Who like LeBron James? => I like bofe;0;0;;
Yo does anybody want to buy me minecraft for the Switch => lmao no, im broke, idk u, and i have mc on xbox;0;0;;
Do you agree that nobody goes through more shit in life than a person with a good heart? => never heard of that. I like it. :);0;0;;
DOUBLE STANDARD Why is a 2 year old boy allowed to be naked at the beach but a man cannot ? => Because a man will try to fuck;0;0;;
How big is too big for you for fuck? => Idk i only had sex once;1;0;sexual;
Eyes but i here you have a nice butt to, how about driving from back => Lol thank you;1;0;sexual;
what word makes u feel the most uncomfortable? => Tbh i have no clue, sex ig;0;0;;
What is one thing that many people don't know about you? => you are hoe like me;0;1;;insult
How short is your shortest shorts, I head its small => The bottom of your ass;1;1;sexual;sexual
What advice would you give to children today? => Don't fuck up;0;0;;
Anal => idk, never had anal sex;0;0;;
Can you recommend anything to read? => Evermore by Alyson Noel if you like immortal shiz;0;0;;
Whats the first thing youd do if you were the opposite sex for one day? => I wouldn't go to the bathroom and the first thing i'd do is tell everyone XD;0;0;;
Name 3 thing you never thought you would do but did => Kiss my ex bffs bf, talk shiz about someone im friends with, and the last is a secret;0;0;;
If you were to write a book what would it be about? => Relatable shit;0;0;;
I remember that u salked a guy named ryan and it was hilarious when you told him about that he was hot and calling the fire department  => lmao when? U studpid fuck;0;1;;insult
What was the first band or musician you were really into? Do you still like it? => Justin Bieber, and fuck no;0;0;;
Any one else experiencing alien type shit rn  => No what is it?;0;0;;
Which camera is better to shoot a video on? => outside camera because what if you wanna show something on the outside, you'll have to flip your wrist and it wont show half the shit you want... lol;0;0;;
Bijouterie or jewelry? => wtf is that?;0;0;;
Wow damn cute!  Sc/Kik? => Idk you;0;0;;
Do you have line ? What's your id => wtf I'm not telling you! And IDK SO LEAVE ME ALONE;0;0;;
What would be your action plan, if there were no more electricity in the world? => I wish you die;0;1;;curse
I think I commented on the wrong person, sorry about that, lmao awkward => Lol;0;0;;
i think george likes you => no je doesnt HE HAS A FUCK**G GIRLFRIEND!! Everyone stop talking shit about them bc they never did anything to you so they dont deserve this! just leave them alone! ;0;0;;
Pap of you id card for school => Hahaahaa wtf look at the arrow PHOTOBOMBED;0;0;;
Isabel u have sex with someone? => WTF NO!! IM NOT TTHAT OLD!  WHO TF IS THIS?? THIS BETTER NOT BE JOSH ADAMS WHO WANTS TO DO IT WITH SOMEONE, I HAVE THE PROOF ON CHERIES ACCOUNT!!!!!;1;0;sexual;
What do you want to know about the future? => We all die and god makes a new eartyh just for us in heaven;0;0;;
What created our World? => Not what, who, and God the father of Jesus Christ;0;0;;
Whats the first thing youd do if you were the opposite sex for one day? => For one, never go to the bathroom, and. Yes I can hold that long and two I would just sleep;0;0;;
The first thing to your left is your weapon in the zombie apocalypse. What is it? => Damion. I'm in third hour. He is my shield and gun, I want him to be my shield so I dont die :);0;0;;
Who are your favorite ASKfm couples? => Michael Renzi and Lorenna Singer they are the cutest couple I know;0;0;;
Who was the last person of the opposite sex you talked to? => today;0;0;;
Whats the first thing youd do if you were the opposite sex for one day? => not go to the bathroom for a VERY long time and i would go around saying isabels not at school then  i would just walk away like nothing happened, nah i would just not go to school;0;0;;
Who was the last person of the opposite sex you talked to? => Um I think Ashton queen or Gavin riser, or tanner Piwowar, or Carson stoneburg.... Idk;0;0;;
What is the purpose of life? => To die it's true, we live to die, then we rellive up in heaven then the world is going to die and. God makes a. New earth just for the. People in heaven then a bajillian years later it's all going to happen again, there are a,kready flying cars, PLANES. We all fly in one big ''car'' and we fly in it and listen to music and so on, so pp, stop wishing for flying cars!!!;0;0;;
Are there any places you are afraid to visit? => Hell;0;0;;
Whom would you like to meet? => God and Jesus;0;0;;
Who was the last person of the opposite sex you talked to? => LIKE I SAID ALREADY SAID!!! USE THE WORD GENDER!!! And It was Gavin Riser if you mean at school, and at home my bro just now :);0;0;;
-.- delete that question lmfao => omfg;0;0;;
Who was the last person of the opposite sex you talked to? => ...not sayin, and use the word gender!!!!!!;0;0;;
Which animals scare you most? Why? => Bull because I dont want to die when they run me over, if they ever do;0;0;;
Who was the last person of the opposite sex you talked to? => Dean;0;0;;
Is it ethical to eat meat? => I think so we need meat to survive as part of the food groups we have so I think it's perfectly fine but it also depends on what type of meat though so yeah why was I being scientific with that answer? I suck at science class;0;0;;
Is bad sex a big enough reason to leave a relationship?? => No;0;0;;
Who here would immigrate to mars => Hell no.;0;0;;
When youll be 90 years old, what will matter most to you? => If I die happy/if I made it to heaven;0;0;;
What's your favorite funny movie? => Beavis and butt head do America its a classic ;0;0;;
Is it easier to fall in love in spring? => Hell no  but yeah probably because there are more activities to do;0;0;;
"What would you do if your boyfriend told you ""I want you to dress like the Statue of Liberty in bed, wearing a crown and holding the torch of freedom""? => Id say hell no ";0;0;;
Does anyone here like going commando. => Annoying ass question;0;0;;
What happens if I stick my fingers in Dana Brooke butt => Idek who that is but thats nasty ;1;0;sexual;
Does anyone else smell something they think of their ex? If i smell my shoulder or smell feces after i go to the bathroom it makes me think of them. =>  well shit;0;0;;
Whats your worst sex experience? => Feeling like youre having sex against your will;0;0;;
Has your foot been kissed before => No lmao, I would like you to suck my pussy;0;1;sexual;
which super power do you want to have? and if u get that what would u do? => Invisible.. Id rob banks lmao;0;0;;
Would you make your kids smell your feet as punishment? => Eewww wtf;0;0;;
what happens if i dig in dana's butt => Wth?;1;0;sexual;
Greet me a happy birthday. And give me a sweet message. Just think that I'm your closest friend.  => Happy birthday you old butt hole;0;1;;
You're planning a nice dinner party but could only invite 2 people. Who would you invite? => Fuck that Ill eat myself nobody deserves the shit Ill bring to the table;0;0;;
Its my first question tho ive spook many more => Whatever;0;0;;
lmao very nice and smart  => Very ;0;0;;
IF MY CAT COULD TALK. Cat: What was that?. Me: Sex. Cat: Ewww, don't do it anymore! =>  lmao, you prevert bitch animal fucker;0;1;;sexual
What do you do for other people to love you? => Nothing I dont give a rats ass if people like I like myself thats enough for me;0;0;;
Is restricting bathroom use a good punishment for kids? => No wtf ;0;0;;
Should I take my anger out on all the girls who rejected me because I want to make their lives a living hell just as they made mine => No just move on and be positive ;0;0;;
Do you think I should be with my man I think hes cheating everyday => Hmm maybe find some evidence then decide whats best for you because if choosing to be a hoe you cant stop him hes making his own choices;0;0;;
Uh oh, I left the air on => Dammit left on overnight Im  as big ass the whole state of Idaho;0;0;;
Your butt is still big though lol => No?;1;0;sexual;
*you push me again the wall with your giant balloon butt* uh oh => But Id inflate like a balloon not just the butt think bout it;1;0;sexual;
Happy spook day to you aswell => Thank ya:);0;0;;
What could be your reasons for discontinuing friendship with a person? => bitches;0;0;;
what makes a guy hot? => Well lets just say a guy could have the nicest body, defined muscles and all that, but if his personality is trash he will automatically be ugly as fuck;0;0;;
Who do you find attractive? => Captain America and his Americas ass;0;0;;
Were you in a relationship with someone before??? => Nope. Almost was on a few occasions but I made people work before I enter a relationship with them because Im not here to fuck around;0;0;;
Have u followed a bad advice? Which one? What happened? => Not really  If Im unsure about advice I wont do it lmao;0;0;;
What's something you're not very good at but enjoy doing anyway? => art lmao;0;0;;
What's the last photo you took on your phone? Post it! => I take boring photos lmao;0;0;;
Would you ever try the blueberry gum off of Charlie and the chocolate factory? => Umm probably not. That shit looked dangerous as hell;0;0;;
Why is it so hard for men to express the truth and their REAL feelings? => Because society is fucking stupid and most men were raised on the idea that being open and honest makes you less of a man which is bullshit. Real men dont give a fuck about what lies society has spread. Honestly think it makes them less of a man to believe that bullshit and care so much about their masculinity. Dont @ me;0;0;;
Post a pic with your friends? => What friends lmao;0;0;;
What something cool about you? => I can always count on myself to piss other people off by proving them wrong with hard facts and evidence ;0;0;;
